total_games,1000000
state,p1_wins,p2_wins,draws
010000000,59578,37424,14425
010000020,8085,3003,2809
010000120,2288,435,1233
210000120,685,119,522
210000121,268,0,504
210200121,372,0,201
210201121,366,0,389
210221121,1561,0,0
211221121,4694,0,0
001000000,67291,29537,14292
001200000,9292,3523,781
001201000,2718,887,412
201201000,850,473,0
201201100,679,139,0
201221100,384,203,0
201221110,373,396,0
221221110,1557,0,0
221221111,1557,0,0
000010000,76823,21393,12816
000010020,10115,2184,1590
000010120,3122,249,639
002010120,705,193,385
002010121,405,147,266
202010121,0,221,414
212010121,0,0,794
212210121,0,0,1621
212211121,0,0,8010
000001000,59958,37201,14165
000001200,7441,5601,769
100001200,2000,1548,394
102001200,708,592,0
102011200,724,58,0
102211200,604,0,0
102211201,614,0,0
001000002,8065,4167,1585
011000002,2516,1485,0
011000022,822,453,0
011000122,631,132,0
011002122,624,0,0
011012122,641,0,0
000001002,7022,4470,2410
001001002,1509,1795,613
001001202,335,684,273
001101202,210,481,140
001121202,0,396,199
011121202,0,784,0
211121202,0,1239,0
000000010,59616,37153,14279
000000012,7075,4532,2397
100000012,1855,916,1229
102000012,502,588,282
102001012,372,150,278
102201012,202,0,433
102211012,357,0,375
122211012,0,0,1551
122211112,0,0,7980
000000100,67193,29209,14220
000000120,8939,2539,2359
100000120,2998,661,417
100200120,822,220,239
100201120,406,129,247
100221120,206,206,168
110221120,416,0,376
112221120,0,0,1545
112221121,0,0,8003
001200100,2787,927,210
001202100,883,434,0
001202110,472,327,0
001222110,0,624,0
000002010,8226,3943,1644
010002010,2186,1514,220
210002010,850,299,140
210002110,552,210,0
210202110,506,90,0
210212110,595,0,0
002000100,7503,3408,2721
002100100,2233,1251,337
002100102,786,556,0
012100102,330,466,0
012120102,294,299,0
112120102,549,0,0
010002000,8414,3897,1573
010002100,2115,1438,394
010202100,789,538,0
010212100,749,62,0
012212100,456,99,0
012212101,782,0,0
212212101,1584,0,0
212212111,1584,0,0
010102000,2030,1107,798
010102020,763,177,399
010112020,259,276,275
012112020,183,219,231
012112021,418,0,400
212112021,0,0,1603
212112121,0,0,7946
020000100,9472,3540,773
020000101,2831,1087,0
