total_games,100000000
state,p1_wins,p2_wins,draws
000000010,5955623,3732123,1428627
000200010,834614,396481,159426
100200010,222542,95180,79543
120200010,83797,8846,39753
120200011,72325,6537,0
120220011,49131,9785,0
120220111,59710,0,0
001000000,6751413,2934274,1430886
021000000,891784,258010,238791
021100000,222327,94253,79679
021102000,83484,8831,39717
121102000,46075,6600,26550
121122000,29603,9970,20025
121122001,0,39731,39843
121122201,0,0,158027
121122211,0,0,793855
000010000,7698566,2141177,1269307
000010200,912895,317616,158682
000010201,282075,74806,39689
000012201,97183,8907,26506
010012201,59121,6520,13370
012012201,60129,0,0
012112201,79163,0,0
212112201,158290,0,0
212112211,475988,0,0
000000001,6747715,2937311,1428696
002000001,811340,416808,158679
012000001,211679,105034,79058
212000001,70235,22010,39411
212010001,45958,6582,26367
212010021,19820,0,39865
212110021,39646,0,40040
212112021,0,0,158301
212112121,0,0,793630
000210010,291573,65879,39612
020210010,84119,22095,26317
120210010,52974,0,26186
122210010,39697,0,19797
122210110,39786,0,39761
122212110,158924,0,0
122212111,158924,0,0
000000100,6745713,2933883,1428782
000020100,675102,517079,198359
100020100,222593,114591,59432
120020100,77371,41788,13405
120021100,33186,32977,13220
122021100,49584,10008,0
122121100,59735,0,0
100000000,6744122,2935164,1426026
100000002,754263,356322,277385
100010002,194061,123087,79153
100010022,66114,53004,13330
101010022,46337,33160,0
101010222,0,59261,0
000100000,5954325,3730047,1426683
000100200,694375,456993,237785
000100201,210877,105992,78816
000120201,44013,61878,26303
000121201,33020,45960,0
000121221,29725,29850,0
100121221,0,79194,0
120121221,0,118904,0
020000100,951664,356389,79167
020100100,261990,133783,0
020100102,101430,30751,0
021100102,59523,19866,0
221100102,39421,19890,0
221100112,39721,39357,0
221120112,0,118340,0
010000000,5952461,3728932,1427161
010200000,832409,396873,158074
010201000,203066,114639,78875
010201002,75203,30761,26256
110201002,45926,6550,26094
110201202,49701,9829,0
110211202,39620,39512,0
110211222,0,118630,0
200010000,913394,317943,158639
200010100,281986,74902,39664
200012100,100980,17569,13160
200012101,59300,6668,13238
220012101,49778,10016,0
220112101,39636,39948,0
222112101,0,119120,0
001000200,753270,357568,277899
001010200,194345,123599,79195
201010200,53255,52949,26868
201110200,46515,6567,26476
201110220,29996,9909,19960
201111220,59979,0,0
000001000,5953783,3730001,1427199
000001200,754143,556071,79427
000101200,211457,164787,20056
000101202,59237,59347,13238
000101212,39578,26262,13285
000121212,0,39368,19708
010121212,0,79496,0
210121212,0,118755,0
010000002,753421,554730,79093
010000102,202319,154944,39554
010000122,96938,21974,13159
011000122,66290,13196,0
011020122,39814,19944,0
111020122,59699,0,0
200100000,694435,456182,237700
201100000,211108,105556,79058
201100002,70481,61400,0
211100002,26367,52579,0
211102002,39777,19769,0
211102102,39405,39567,0
211122102,0,119022,0
001000020,953933,357902,79400
001010020,302193,75023,19770
001010220,66014,52945,13060
001011220,39722,39850,0
021011220,49725,9939,0
021011221,59877,0,0
001200000,953642,356944,79477
101200000,290399,65976,39884
101200020,114652,17554,0
101210020,72839,6633,0
101212020,59217,0,0
101212021,59505,0,0
000002010,834061,396961,159059
000102010,203784,114648,79606
200102010,75257,30904,26368
201102010,39812,13126,26318
201102012,39928,19714,0
201112012,79727,0,0
221112012,158538,0,0
221112112,476595,0,0
210000000,693691,456401,237870
210000001,182756,94853,119092
210002001,61598,17505,52686
210012001,46252,6677,26375
